Age Group (years),Year,IPD Serotype,Frequency Count
18-49,2017,8,42
18-49,2017,9N,35
18-49,2017,9V,1
18-49,2017,MISS,76
18-49,2017,NT,1
50-64,2017,10A,20
50-64,2017,10F,1
50-64,2017,11A,46
50-64,2017,12F,49
50-64,2017,14,1
50-64,2017,15A,36
50-64,2017,15B,11
50-64,2017,15C,7
50-64,2017,16F,31
50-64,2017,17F,16
50-64,2017,18A,1
50-64,2017,18C,2
50-64,2017,19A,37
50-64,2017,19F,26
50-64,2017,20,36
50-64,2017,21,4
50-64,2017,22F,93
50-64,2017,23A,43
50-64,2017,23B,24
50-64,2017,23F,1
50-64,2017,24F,1
50-64,2017,28A,1
50-64,2017,3,157
50-64,2017,31,16
50-64,2017,33F,31
50-64,2017,34,16
50-64,2017,35B,37
50-64,2017,35D,1
50-64,2017,35F,19
50-64,2017,38,16
50-64,2017,4,28
50-64,2017,5,1
50-64,2017,6A,1
50-64,2017,6B,3
50-64,2017,6C,22
50-64,2017,7C,20
50-64,2017,7F,21
50-64,2017,8,61
50-64,2017,9L,1
50-64,2017,9N,65
50-64,2017,9V,6
50-64,2017,MISS,108
65+,2017,10A,21
65+,2017,10F,1
65+,2017,11A,51
65+,2017,12F,25
65+,2017,13,1
65+,2017,14,3
65+,2017,15A,62
65+,2017,15B,26
65+,2017,15C,18
65+,2017,16F,44
65+,2017,17F,13
65+,2017,19A,35
65+,2017,19F,32
65+,2017,20,31
65+,2017,21,2
65+,2017,22F,110
65+,2017,23A,69
65+,2017,23B,34
65+,2017,23F,1
65+,2017,24A,1
65+,2017,24F,5
65+,2017,28A,3
65+,2017,3,183
65+,2017,31,37
65+,2017,33F,43
65+,2017,34,14
65+,2017,35B,82
65+,2017,35D,1
65+,2017,35F,25
65+,2017,37,2
65+,2017,38,28
65+,2017,4,8
65+,2017,6A,2
65+,2017,6B,3
65+,2017,6C,37
65+,2017,6D,1
65+,2017,7C,28
65+,2017,7F,7
65+,2017,8,38
65+,2017,9L,1
65+,2017,9N,46
65+,2017,9V,1
65+,2017,MISS,114
65+,2017,NT,2
<2,2018,10A,5
<2,2018,11A,2
<2,2018,15A,4
<2,2018,15B,5
<2,2018,15C,7
<2,2018,16F,4
<2,2018,17F,1
<2,2018,19A,2
<2,2018,19F,5
<2,2018,21,3
<2,2018,22F,7
<2,2018,23A,1
<2,2018,23B,4
<2,2018,3,6
<2,2018,31,1
<2,2018,33F,9
<2,2018,34,1
<2,2018,35B,3
<2,2018,35F,2
<2,2018,38,2
<2,2018,7C,6
<2,2018,8,1
<2,2018,9N,2
<2,2018,MISS,10
2-4,2018,10A,1
2-4,2018,11A,2
2-4,2018,12F,2
2-4,2018,15A,2
2-4,2018,15B,4
2-4,2018,15C,5
2-4,2018,16F,1
2-4,2018,18C,1
2-4,2018,19A,1
2-4,2018,19F,3
2-4,2018,21,2
2-4,2018,22F,2
2-4,2018,23A,1
2-4,2018,23B,6
2-4,2018,3,7
2-4,2018,33A,1
2-4,2018,33F,4
2-4,2018,35F,1
2-4,2018,38,2
2-4,2018,6C,2
2-4,2018,MISS,4
5-17,2018,10A,1
5-17,2018,12F,1
5-17,2018,13,1
5-17,2018,15A,1
5-17,2018,15B,1
5-17,2018,15C,4
5-17,2018,16F,4
5-17,2018,19A,5
5-17,2018,19F,11
5-17,2018,20,1
5-17,2018,21,3
5-17,2018,22F,13
5-17,2018,23A,2
5-17,2018,23B,3
5-17,2018,24F,1
5-17,2018,3,13
5-17,2018,33F,2
5-17,2018,34,1
5-17,2018,35B,4
5-17,2018,4,1
5-17,2018,6C,2
5-17,2018,7C,2
5-17,2018,7F,1
5-17,2018,8,3
5-17,2018,9N,2
5-17,2018,MISS,13
18-49,2018,1,1
18-49,2018,10A,12
18-49,2018,11A,16
18-49,2018,12F,31
18-49,2018,13,3
18-49,2018,14,1
18-49,2018,15A,22
18-49,2018,15B,4
18-49,2018,15C,6
18-49,2018,16F,19
18-49,2018,17F,9
18-49,2018,19A,25
18-49,2018,19F,19
18-49,2018,20,27
18-49,2018,21,1
18-49,2018,22F,55
18-49,2018,23A,16
18-49,2018,23B,21
18-49,2018,24F,1
18-49,2018,3,63
18-49,2018,31,4
18-49,2018,33F,23
18-49,2018,34,7
18-49,2018,35B,17
18-49,2018,35F,5
18-49,2018,37,1
18-49,2018,38,5
18-49,2018,4,62
18-49,2018,6A,1
18-49,2018,6B,1
18-49,2018,6C,17
18-49,2018,7C,8
18-49,2018,7F,11
18-49,2018,8,36
18-49,2018,9N,60
18-49,2018,9V,1
18-49,2018,MISS,90
50-64,2018,10A,17
50-64,2018,11A,39
50-64,2018,12F,48
50-64,2018,13,3
50-64,2018,14,1
50-64,2018,15A,42
50-64,2018,15B,6
50-64,2018,15C,9
50-64,2018,16F,37
50-64,2018,17F,14
50-64,2018,19A,29
50-64,2018,19F,28
50-64,2018,20,49
50-64,2018,21,2
50-64,2018,22F,104
50-64,2018,23A,45
50-64,2018,23B,29
50-64,2018,24F,1
50-64,2018,28A,2
50-64,2018,3,161
50-64,2018,31,20
50-64,2018,33F,25
50-64,2018,34,13
50-64,2018,35B,30
50-64,2018,35D,2
50-64,2018,35F,11
50-64,2018,37,1
50-64,2018,38,10
50-64,2018,4,33
50-64,2018,6A,1
50-64,2018,6B,3
50-64,2018,6C,20
50-64,2018,7C,13
50-64,2018,7F,18
50-64,2018,8,43
50-64,2018,9L,1
50-64,2018,9N,76
50-64,2018,9V,3
50-64,2018,MISS,117
50-64,2018,NT,4
65+,2018,10A,14
65+,2018,10F,2
65+,2018,11A,48
65+,2018,12F,16
65+,2018,13,1
65+,2018,14,2
65+,2018,15A,71
65+,2018,15B,17
65+,2018,15C,13
65+,2018,15D,1
65+,2018,16F,57
65+,2018,17F,10
65+,2018,19A,23
65+,2018,19F,25
65+,2018,20,23
65+,2018,21,2
65+,2018,22F,118
65+,2018,23A,63
65+,2018,23B,31
65+,2018,24F,1
65+,2018,28A,3
65+,2018,3,179
65+,2018,31,31
65+,2018,33F,51
65+,2018,34,26
65+,2018,35B,56
65+,2018,35D,2
65+,2018,35F,12
65+,2018,37,2
65+,2018,38,13
65+,2018,4,10
65+,2018,6A,1
65+,2018,6B,1
65+,2018,6C,48
65+,2018,7C,28
65+,2018,7F,6
65+,2018,8,37
65+,2018,9N,54
65+,2018,MISS,140
65+,2018,NT,3
<2,2019,10A,5
<2,2019,11A,2
<2,2019,15A,3
<2,2019,15B,4
<2,2019,15C,5
<2,2019,16F,4
<2,2019,19A,2
<2,2019,19F,9
<2,2019,21,1
<2,2019,22F,6
<2,2019,23A,1
<2,2019,23B,5
<2,2019,3,7
<2,2019,31,1
<2,2019,33F,11
<2,2019,34,1
<2,2019,35B,10
<2,2019,35F,2
<2,2019,38,4
<2,2019,8,2
<2,2019,MISS,11
<2,2019,NT,1
2-4,2019,11A,1
2-4,2019,12F,2
2-4,2019,15A,2
2-4,2019,15B,2
2-4,2019,15C,3
2-4,2019,16F,3
2-4,2019,18C,1
2-4,2019,19A,3
2-4,2019,19F,2
2-4,2019,21,1
2-4,2019,22F,5
2-4,2019,23A,5
2-4,2019,23B,5
2-4,2019,3,7
2-4,2019,33F,2
2-4,2019,35B,4
2-4,2019,35D,1
2-4,2019,35F,2
2-4,2019,MISS,4
5-17,2019,10A,1
5-17,2019,11A,2
5-17,2019,15A,2
5-17,2019,15B,4
5-17,2019,15C,3
5-17,2019,16F,2
5-17,2019,17F,1
5-17,2019,19A,6
5-17,2019,19F,3
5-17,2019,20,1
5-17,2019,22F,7
5-17,2019,23A,1
5-17,2019,23B,6
5-17,2019,3,8
5-17,2019,33F,1
5-17,2019,35B,4
5-17,2019,38,1
5-17,2019,6C,3
5-17,2019,7C,2
5-17,2019,8,6
5-17,2019,9N,2
5-17,2019,MISS,13
18-49,2019,1,1
18-49,2019,10A,12
18-49,2019,10F,1
18-49,2019,11A,13
18-49,2019,12F,32
18-49,2019,13,3
18-49,2019,15A,14
18-49,2019,15B,6
18-49,2019,15C,3
18-49,2019,15F,1
18-49,2019,16F,15
18-49,2019,17F,10
18-49,2019,19A,15
18-49,2019,19F,24
18-49,2019,20,30
18-49,2019,22F,49
18-49,2019,23A,27
18-49,2019,23B,19
18-49,2019,28A,4
18-49,2019,3,84
18-49,2019,31,13
18-49,2019,33A,1
18-49,2019,33F,17
18-49,2019,34,8
18-49,2019,35B,17
18-49,2019,35F,6
18-49,2019,37,1
18-49,2019,38,3
18-49,2019,4,35
18-49,2019,6C,13
18-49,2019,7C,10
18-49,2019,7F,6
18-49,2019,8,43
18-49,2019,9N,47
18-49,2019,MISS,84
50-64,2019,10A,18
50-64,2019,11A,33
50-64,2019,12F,41
50-64,2019,13,1
50-64,2019,15A,40
50-64,2019,15B,14
50-64,2019,15C,11
50-64,2019,16F,40
50-64,2019,17F,10
50-64,2019,18A,1
50-64,2019,19A,30
50-64,2019,19F,30
50-64,2019,20,42
50-64,2019,21,2
50-64,2019,22F,89
50-64,2019,23A,40
50-64,2019,23B,39
50-64,2019,28A,4
50-64,2019,3,135
50-64,2019,31,19
50-64,2019,33F,35
50-64,2019,34,13
50-64,2019,35B,33
50-64,2019,35D,1
50-64,2019,35F,11
50-64,2019,37,1
50-64,2019,38,5
50-64,2019,4,34
50-64,2019,6A,2
50-64,2019,6C,21
50-64,2019,7C,13
50-64,2019,7F,6
50-64,2019,8,49
50-64,2019,9L,1
50-64,2019,9N,63
50-64,2019,MISS,117
50-64,2019,NT,5
65+,2019,10A,19
65+,2019,10F,2
65+,2019,11A,48
65+,2019,12F,28
65+,2019,13,1
65+,2019,14,2
65+,2019,15A,65
65+,2019,15B,18
65+,2019,15C,15
65+,2019,16F,53
65+,2019,17F,13
65+,2019,18B,2
65+,2019,18C,1
65+,2019,19A,30
65+,2019,19F,34
65+,2019,20,25
65+,2019,21,4
65+,2019,22F,118
65+,2019,23A,65
65+,2019,23B,30
65+,2019,24F,1
65+,2019,28A,4
65+,2019,3,197
65+,2019,31,37
65+,2019,33F,54
65+,2019,34,12
65+,2019,35B,76
65+,2019,35D,3
65+,2019,35F,20
65+,2019,37,1
65+,2019,38,11
65+,2019,4,7
65+,2019,45,1
65+,2019,6A,2
65+,2019,6B,3
65+,2019,6C,26
65+,2019,7C,21
65+,2019,7F,5
65+,2019,8,29
65+,2019,9N,46
65+,2019,9V,2
65+,2019,MISS,132
65+,2019,NT,2
<2,2020,10A,1
<2,2020,15A,3
<2,2020,15C,6
<2,2020,17F,1
<2,2020,19F,1
<2,2020,22F,6
<2,2020,23A,2
<2,2020,23B,1
<2,2020,3,2
<2,2020,33F,3
<2,2020,35B,4
<2,2020,35D,2
<2,2020,7C,1
<2,2020,8,3
<2,2020,MISS,5
<2,2020,NT,1
2-4,2020,10A,1
2-4,2020,15A,3
2-4,2020,15B,1
2-4,2020,15C,4
2-4,2020,19A,1
2-4,2020,19F,1
2-4,2020,22F,2
2-4,2020,23A,2
2-4,2020,23B,5
2-4,2020,3,1
2-4,2020,33F,1
2-4,2020,7C,1
5-17,2020,10A,1
5-17,2020,11A,1
5-17,2020,15C,2
5-17,2020,16F,1
5-17,2020,17F,1
5-17,2020,19A,1
5-17,2020,19F,3
5-17,2020,23B,2
5-17,2020,3,3
5-17,2020,33F,1
5-17,2020,34,2
5-17,2020,35B,2
5-17,2020,35F,1
5-17,2020,7F,1
5-17,2020,8,1
5-17,2020,9N,1
5-17,2020,MISS,5
18-49,2020,10A,2
18-49,2020,10F,1
18-49,2020,11A,21
18-49,2020,12F,30
18-49,2020,13,1
18-49,2020,15A,6
18-49,2020,15B,5
18-49,2020,15C,6
18-49,2020,16F,5
18-49,2020,17F,3
18-49,2020,19A,5
18-49,2020,19F,15
18-49,2020,20,25
18-49,2020,21,2
18-49,2020,22F,34
18-49,2020,23A,18
18-49,2020,23B,12
18-49,2020,24F,1
18-49,2020,3,47
18-49,2020,31,7
18-49,2020,33F,15
18-49,2020,34,3
18-49,2020,35B,7
18-49,2020,35F,5
18-49,2020,37,1
18-49,2020,38,1
18-49,2020,4,41
18-49,2020,6C,3
18-49,2020,7C,9
18-49,2020,7F,7
18-49,2020,8,13
18-49,2020,9N,41
18-49,2020,9V,1
18-49,2020,MISS,69
18-49,2020,NT,1
50-64,2020,10A,9
50-64,2020,10F,1
50-64,2020,11A,21
50-64,2020,12F,25
50-64,2020,13,2
50-64,2020,15A,26
50-64,2020,15B,9
50-64,2020,15C,3
50-64,2020,16F,32
50-64,2020,17F,8
50-64,2020,19A,15
50-64,2020,19F,13
50-64,2020,20,25
50-64,2020,21,2
50-64,2020,22F,50
50-64,2020,23A,31
50-64,2020,23B,15
50-64,2020,27,1
50-64,2020,28A,2
50-64,2020,3,78
50-64,2020,31,9
50-64,2020,33F,13
50-64,2020,34,4
50-64,2020,35B,29
50-64,2020,35D,2
50-64,2020,35F,7
50-64,2020,38,5
50-64,2020,4,30
50-64,2020,6B,2
50-64,2020,6C,12
50-64,2020,7C,13
50-64,2020,7F,4
50-64,2020,8,20
50-64,2020,9N,43
50-64,2020,9V,1
50-64,2020,MISS,98
65+,2020,10A,16
65+,2020,11A,26
65+,2020,12F,6
65+,2020,13,1
65+,2020,14,3
65+,2020,15A,26
65+,2020,15B,11
65+,2020,15C,9
65+,2020,16F,22
65+,2020,17F,3
65+,2020,19A,18
65+,2020,19F,15
65+,2020,20,15
65+,2020,21,1
65+,2020,22F,58
65+,2020,23A,23
65+,2020,23B,12
65+,2020,23F,1
65+,2020,24F,1
65+,2020,28A,1
65+,2020,3,106
65+,2020,31,12
65+,2020,33F,22
65+,2020,34,9
65+,2020,35B,29
65+,2020,35F,10
65+,2020,37,1
65+,2020,38,3
65+,2020,4,7
65+,2020,6C,12
65+,2020,7C,14
65+,2020,7F,4
65+,2020,8,11
65+,2020,9N,32
65+,2020,9V,1
65+,2020,MISS,121
65+,2020,NT,3
<2,2021,10A,1
<2,2021,11A,1
<2,2021,13,2
<2,2021,15A,9
<2,2021,15B,4
<2,2021,15C,5
<2,2021,16F,1
<2,2021,19A,2
<2,2021,19F,7
<2,2021,21,3
<2,2021,22F,1
<2,2021,23A,2
<2,2021,23B,2
<2,2021,3,1
<2,2021,33F,6
<2,2021,35B,1
<2,2021,35F,2
<2,2021,7C,1
<2,2021,8,1
<2,2021,9N,4
<2,2021,MISS,7
<2,2021,NT,1
2-4,2021,10A,2
2-4,2021,11A,2
2-4,2021,15B,1
2-4,2021,15C,2
2-4,2021,16F,2
2-4,2021,19A,1
2-4,2021,19F,4
2-4,2021,22F,1
2-4,2021,23A,1
2-4,2021,23B,4
2-4,2021,3,2
2-4,2021,33F,1
2-4,2021,35F,1
2-4,2021,4,1
2-4,2021,8,1
2-4,2021,MISS,7
2-4,2021,NT,1
5-17,2021,11A,2
5-17,2021,15A,1
5-17,2021,16F,1
5-17,2021,19F,3
5-17,2021,22F,3
5-17,2021,23A,3
5-17,2021,23B,2
5-17,2021,23F,1
5-17,2021,3,3
5-17,2021,35B,1
5-17,2021,35F,1
5-17,2021,8,2
5-17,2021,MISS,8
18-49,2021,10A,7
18-49,2021,11A,4
18-49,2021,12F,25
18-49,2021,14,1
18-49,2021,15A,14
18-49,2021,15B,7
18-49,2021,15C,4
18-49,2021,16F,9
18-49,2021,17F,5
18-49,2021,19A,6
18-49,2021,19F,19
18-49,2021,20,21
18-49,2021,21,2
18-49,2021,22F,25
18-49,2021,23A,14
18-49,2021,23B,6
18-49,2021,28A,1
18-49,2021,3,38
18-49,2021,31,2
18-49,2021,33F,10
18-49,2021,34,4
18-49,2021,35B,14
18-49,2021,35D,1
18-49,2021,35F,5
18-49,2021,4,51
18-49,2021,6C,10
18-49,2021,7C,10
18-49,2021,8,12
18-49,2021,9N,34
18-49,2021,9V,2
18-49,2021,MISS,96
50-64,2021,10A,9
50-64,2021,10F,3
50-64,2021,11A,20
50-64,2021,12F,18
50-64,2021,13,3
50-64,2021,15A,14
50-64,2021,15B,8
50-64,2021,15C,3
50-64,2021,16F,23
50-64,2021,17F,5
50-64,2021,18C,1
50-64,2021,19A,9
50-64,2021,19B,1
50-64,2021,19F,19
50-64,2021,20,31
50-64,2021,21,1
50-64,2021,22F,27
50-64,2021,23A,23
50-64,2021,23B,23
50-64,2021,28A,2
50-64,2021,3,79
50-64,2021,31,8
50-64,2021,33B,1
50-64,2021,33F,11
50-64,2021,34,4
50-64,2021,35B,25
50-64,2021,35F,8
50-64,2021,38,1
50-64,2021,4,27
50-64,2021,6A,1
50-64,2021,6B,1
50-64,2021,6C,10
50-64,2021,7C,14
50-64,2021,7F,2
50-64,2021,8,16
50-64,2021,9N,47
50-64,2021,9V,2
50-64,2021,MISS,162
50-64,2021,NT,3
65+,2021,10A,5
65+,2021,11A,15
65+,2021,12F,7
65+,2021,13,3
65+,2021,15A,35
65+,2021,15B,11
65+,2021,15C,4
65+,2021,15F,1
65+,2021,16F,23
65+,2021,17F,2
65+,2021,18C,2
65+,2021,19A,11
65+,2021,19F,14
65+,2021,20,11
65+,2021,21,1
65+,2021,22F,40
65+,2021,23A,39
65+,2021,23B,13
65+,2021,28A,3
65+,2021,3,64
65+,2021,31,12
65+,2021,33F,15
65+,2021,34,7
65+,2021,35B,43
65+,2021,35F,16
65+,2021,4,8
65+,2021,6B,2
65+,2021,6C,8
65+,2021,7C,13
65+,2021,7F,1
65+,2021,8,8
65+,2021,9N,36
65+,2021,MISS,128
